numero_fiche,intitule_certification,nombre_offres,codes_rome_distincts,methode_correspondance,niveau_confiance
RNCP42047,Manager des ressources humaines (MS),1,1,correspondance_officielle_france_competences,officiel
RNCP42518,Manager du développement des ressources humaines (MDRH),1,1,correspondance_officielle_france_competences,officiel
RNCP40019,Urbanisme et aménagement (fiche nationale),1,1,correspondance_officielle_france_competences,officiel
RNCP41288,CQP Opérateur en fabrication additive : poudre métallique ou polymères ou sables,1,1,correspondance_officielle_france_competences,officiel
RNCP42750,Métiers de l'usinage,2,2,correspondance_officielle_france_competences,officiel
RNCP36333,Réalisation de circuits oléohydrauliques et pneumatiques,1,1,correspondance_officielle_france_competences,officiel
RNCP38561,Electricien d'installation et de maintenance des systèmes automatisés,1,1,correspondance_officielle_france_competences,officiel
RNCP39635,Technicien intégrateur des infrastructures et équipements connectés ,1,1,correspondance_officielle_france_competences,officiel
RNCP41534,Technicien supérieur de maintenance d'éoliennes,1,1,correspondance_officielle_france_competences,officiel
RNCP37397,Agent de fabrication industrielle,1,1,correspondance_officielle_france_competences,officiel
